REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,Grand Bank,2021A00051002019,In the labour force,75 years and over,114.2.15,0,,0,,0,
2021,Grand Bank,2021A00051002019,Employed,Total - Age,114.3.1,670,,300,,375,
2021,Grand Bank,2021A00051002019,Employed,15 to 24 years,114.3.2,50,,25,,25,
2021,Grand Bank,2021A00051002019,Employed,15 to 19 years,114.3.3,20,,10,,15,
2021,Grand Bank,2021A00051002019,Employed,20 to 24 years,114.3.4,35,,20,,15,
2021,Grand Bank,2021A00051002019,Employed,25 to 64 years,114.3.5,570,,250,,320,
2021,Grand Bank,2021A00051002019,Employed,25 to 54 years,114.3.6,360,,160,,205,
2021,Grand Bank,2021A00051002019,Employed,25 to 34 years,114.3.7,65,,20,,40,
2021,Grand Bank,2021A00051002019,Employed,25 to 29 years,114.3.8,30,,10,,20,
2021,Grand Bank,2021A00051002019,Employed,30 to 34 years,114.3.9,40,,15,,25,
2021,Grand Bank,2021A00051002019,Employed,35 to 44 years,114.3.10,115,,40,,75,
2021,Grand Bank,2021A00051002019,Employed,45 to 54 years,114.3.11,185,,95,,85,
2021,Grand Bank,2021A00051002019,Employed,55 to 64 years,114.3.12,210,,95,,120,
2021,Grand Bank,2021A00051002019,Employed,65 years and over,114.3.13,45,,25,,20,
2021,Grand Bank,2021A00051002019,Employed,65 to 74 years,114.3.14,45,,25,,20,
2021,Grand Bank,2021A00051002019,Employed,75 years and over,114.3.15,0,,0,,0,
2021,Grand Bank,2021A00051002019,Unemployed,Total - Age,114.4.1,145,,90,,55,
2021,Grand Bank,2021A00051002019,Unemployed,15 to 24 years,114.4.2,20,,15,,0,
2021,Grand Bank,2021A00051002019,Unemployed,15 to 19 years,114.4.3,0,,0,,0,
2021,Grand Bank,2021A00051002019,Unemployed,20 to 24 years,114.4.4,15,,15,,0,
2021,Grand Bank,2021A00051002019,Unemployed,25 to 64 years,114.4.5,115,,75,,45,
2021,Grand Bank,2021A00051002019,Unemployed,25 to 54 years,114.4.6,45,,30,,15,
2021,Grand Bank,2021A00051002019,Unemployed,25 to 34 years,114.4.7,10,,10,,0,
2021,Grand Bank,2021A00051002019,Unemployed,25 to 29 years,114.4.8,10,,10,,0,
2021,Grand Bank,2021A00051002019,Unemployed,30 to 34 years,114.4.9,0,,0,,0,
2021,Grand Bank,2021A00051002019,Unemployed,35 to 44 years,114.4.10,15,,15,,0,
2021,Grand Bank,2021A00051002019,Unemployed,45 to 54 years,114.4.11,25,,15,,0,
2021,Grand Bank,2021A00051002019,Unemployed,55 to 64 years,114.4.12,65,,40,,30,
2021,Grand Bank,2021A00051002019,Unemployed,65 years and over,114.4.13,20,,0,,15,
2021,Grand Bank,2021A00051002019,Unemployed,65 to 74 years,114.4.14,10,,0,,10,
2021,Grand Bank,2021A00051002019,Unemployed,75 years and over,114.4.15,0,,0,,0,
2021,Grand Bank,2021A00051002019,Not in the labour force,Total - Age,114.5.1,1050,,525,,525,
2021,Grand Bank,2021A00051002019,Not in the labour force,15 to 24 years,114.5.2,85,,60,,30,
2021,Grand Bank,2021A00051002019,Not in the labour force,15 to 19 years,114.5.3,45,,30,,15,
2021,Grand Bank,2021A00051002019,Not in the labour force,20 to 24 years,114.5.4,35,,30,,10,
2021,Grand Bank,2021A00051002019,Not in the labour force,25 to 64 years,114.5.5,295,,150,,150,
2021,Grand Bank,2021A00051002019,Not in the labour force,25 to 54 years,114.5.6,135,,60,,75,
2021,Grand Bank,2021A00051002019,Not in the labour force,25 to 34 years,114.5.7,30,,15,,15,
2021,Grand Bank,2021A00051002019,Not in the labour force,25 to 29 years,114.5.8,15,,0,,15,
2021,Grand Bank,2021A00051002019,Not in the labour force,30 to 34 years,114.5.9,15,,15,,0,
2021,Grand Bank,2021A00051002019,Not in the labour force,35 to 44 years,114.5.10,45,,30,,15,
2021,Grand Bank,2021A00051002019,Not in the labour force,45 to 54 years,114.5.11,60,,15,,40,
2021,Grand Bank,2021A00051002019,Not in the labour force,55 to 64 years,114.5.12,165,,85,,80,
2021,Grand Bank,2021A00051002019,Not in the labour force,65 years and over,114.5.13,665,,320,,345,
2021,Grand Bank,2021A00051002019,Not in the labour force,65 to 74 years,114.5.14,360,,185,,170,
2021,Grand Bank,2021A00051002019,Not in the labour force,75 years and over,114.5.15,305,,135,,170,
2021,Grand Bank,2021A00051002019,Participation rate,Total - Age,114.6.1,43.9,,42.6,,45.0,
2021,Grand Bank,2021A00051002019,Participation rate,15 to 24 years,114.6.2,46.9,,40.0,,58.3,
2021,Grand Bank,2021A00051002019,Participation rate,15 to 19 years,114.6.3,37.5,,25.0,,57.1,
2021,Grand Bank,2021A00051002019,Participation rate,20 to 24 years,114.6.4,56.3,,58.3,,60.0,
2021,Grand Bank,2021A00051002019,Participation rate,25 to 64 years,114.6.5,69.5,,69.1,,70.9,
2021,Grand Bank,2021A00051002019,Participation rate,25 to 54 years,114.6.6,75.2,,76.0,,72.9,
2021,Grand Bank,2021A00051002019,Participation rate,25 to 34 years,114.6.7,68.2,,66.7,,75.0,
2021,Grand Bank,2021A00051002019,Participation rate,25 to 29 years,114.6.8,77.8,,100.0,,66.7,
2021,Grand Bank,2021A00051002019,Participation rate,30 to 34 years,114.6.9,81.8,,50.0,,100.0,
2021,Grand Bank,2021A00051002019,Participation rate,35 to 44 years,114.6.10,76.5,,62.5,,78.9,
2021,Grand Bank,2021A00051002019,Participation rate,45 to 54 years,114.6.11,78.8,,84.6,,70.4,
2021,Grand Bank,2021A00051002019,Participation rate,55 to 64 years,114.6.12,63.2,,60.5,,64.4,
2021,Grand Bank,2021A00051002019,Participation rate,65 years and over,114.6.13,8.3,,7.2,,8.0,
2021,Grand Bank,2021A00051002019,Participation rate,65 to 74 years,114.6.14,13.1,,11.6,,14.6,
2021,Grand Bank,2021A00051002019,Participation rate,75 years and over,114.6.15,0.0,,0.0,,0.0,
2021,Grand Bank,2021A00051002019,Employment rate,Total - Age,114.7.1,35.8,,32.8,,39.3,
2021,Grand Bank,2021A00051002019,Employment rate,15 to 24 years,114.7.2,31.3,,25.0,,41.7,
2021,Grand Bank,2021A00051002019,Employment rate,15 to 19 years,114.7.3,25.0,,25.0,,42.9,
2021,Grand Bank,2021A00051002019,Employment rate,20 to 24 years,114.7.4,43.8,,33.3,,60.0,
2021,Grand Bank,2021A00051002019,Employment rate,25 to 64 years,114.7.5,57.9,,53.2,,62.1,
2021,Grand Bank,2021A00051002019,Employment rate,25 to 54 years,114.7.6,66.1,,64.0,,69.5,
2021,Grand Bank,2021A00051002019,Employment rate,25 to 34 years,114.7.7,59.1,,44.4,,66.7,
2021,Grand Bank,2021A00051002019,Employment rate,25 to 29 years,114.7.8,66.7,,66.7,,66.7,
2021,Grand Bank,2021A00051002019,Employment rate,30 to 34 years,114.7.9,72.7,,50.0,,83.3,
2021,Grand Bank,2021A00051002019,Employment rate,35 to 44 years,114.7.10,67.6,,50.0,,78.9,
2021,Grand Bank,2021A00051002019,Employment rate,45 to 54 years,114.7.11,71.2,,73.1,,63.0,
2021,Grand Bank,2021A00051002019,Employment rate,55 to 64 years,114.7.12,48.3,,44.2,,53.3,
2021,Grand Bank,2021A00051002019,Employment rate,65 years and over,114.7.13,6.2,,7.2,,5.3,
2021,Grand Bank,2021A00051002019,Employment rate,65 to 74 years,114.7.14,10.7,,11.6,,9.8,
2021,Grand Bank,2021A00051002019,Employment rate,75 years and over,114.7.15,0.0,,0.0,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,Total - Age,114.8.1,17.7,,23.1,,12.8,
2021,Grand Bank,2021A00051002019,Unemployment rate,15 to 24 years,114.8.2,26.7,,37.5,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,15 to 19 years,114.8.3,0.0,,0.0,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,20 to 24 years,114.8.4,33.3,,42.9,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,25 to 64 years,114.8.5,16.8,,23.1,,12.3,
2021,Grand Bank,2021A00051002019,Unemployment rate,25 to 54 years,114.8.6,11.0,,15.8,,7.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,25 to 34 years,114.8.7,13.3,,33.3,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,25 to 29 years,114.8.8,28.6,,66.7,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,30 to 34 years,114.8.9,0.0,,0.0,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,35 to 44 years,114.8.10,11.5,,30.0,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,45 to 54 years,114.8.11,12.2,,13.6,,0.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,55 to 64 years,114.8.12,23.6,,30.8,,20.7,
2021,Grand Bank,2021A00051002019,Unemployment rate,65 years and over,114.8.13,33.3,,0.0,,50.0,
2021,Grand Bank,2021A00051002019,Unemployment rate,65 to 74 years,114.8.14,18.2,,0.0,,33.3,
2021,Grand Bank,2021A00051002019,Unemployment rate,75 years and over,114.8.15,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Total - Labour force status,Total - Age,115.1.1,500,,255,,245,
2021,Garnish,2021A00051002021,Total - Labour force status,15 to 24 years,115.1.2,55,,20,,30,
2021,Garnish,2021A00051002021,Total - Labour force status,15 to 19 years,115.1.3,30,,15,,15,
2021,Garnish,2021A00051002021,Total - Labour force status,20 to 24 years,115.1.4,25,,0,,20,
2021,Garnish,2021A00051002021,Total - Labour force status,25 to 64 years,115.1.5,285,,140,,145,
2021,Garnish,2021A00051002021,Total - Labour force status,25 to 54 years,115.1.6,175,,95,,85,
2021,Garnish,2021A00051002021,Total - Labour force status,25 to 34 years,115.1.7,15,,10,,0,
2021,Garnish,2021A00051002021,Total - Labour force status,25 to 29 years,115.1.8,10,,0,,0,
2021,Garnish,2021A00051002021,Total - Labour force status,30 to 34 years,115.1.9,0,,0,,0,
2021,Garnish,2021A00051002021,Total - Labour force status,35 to 44 years,115.1.10,65,,35,,35,
2021,Garnish,2021A00051002021,Total - Labour force status,45 to 54 years,115.1.11,90,,45,,45,
2021,Garnish,2021A00051002021,Total - Labour force status,55 to 64 years,115.1.12,110,,50,,60,
2021,Garnish,2021A00051002021,Total - Labour force status,65 years and over,115.1.13,160,,95,,70,
2021,Garnish,2021A00051002021,Total - Labour force status,65 to 74 years,115.1.14,105,,70,,30,
2021,Garnish,2021A00051002021,Total - Labour force status,75 years and over,115.1.15,60,,20,,40,
2021,Garnish,2021A00051002021,In the labour force,Total - Age,115.2.1,240,,125,,115,
2021,Garnish,2021A00051002021,In the labour force,15 to 24 years,115.2.2,20,,0,,15,
2021,Garnish,2021A00051002021,In the labour force,15 to 19 years,115.2.3,10,,0,,0,
2021,Garnish,2021A00051002021,In the labour force,20 to 24 years,115.2.4,15,,0,,10,
2021,Garnish,2021A00051002021,In the labour force,25 to 64 years,115.2.5,200,,100,,95,
2021,Garnish,2021A00051002021,In the labour force,25 to 54 years,115.2.6,150,,80,,70,
2021,Garnish,2021A00051002021,In the labour force,25 to 34 years,115.2.7,10,,10,,0,
2021,Garnish,2021A00051002021,In the labour force,25 to 29 years,115.2.8,10,,0,,0,
2021,Garnish,2021A00051002021,In the labour force,30 to 34 years,115.2.9,0,,0,,0,
2021,Garnish,2021A00051002021,In the labour force,35 to 44 years,115.2.10,60,,25,,35,
2021,Garnish,2021A00051002021,In the labour force,45 to 54 years,115.2.11,75,,45,,35,
2021,Garnish,2021A00051002021,In the labour force,55 to 64 years,115.2.12,50,,25,,25,
2021,Garnish,2021A00051002021,In the labour force,65 years and over,115.2.13,20,,10,,10,
2021,Garnish,2021A00051002021,In the labour force,65 to 74 years,115.2.14,20,,10,,10,
2021,Garnish,2021A00051002021,In the labour force,75 years and over,115.2.15,0,,0,,0,
2021,Garnish,2021A00051002021,Employed,Total - Age,115.3.1,215,,105,,105,
2021,Garnish,2021A00051002021,Employed,15 to 24 years,115.3.2,15,,0,,10,
2021,Garnish,2021A00051002021,Employed,15 to 19 years,115.3.3,0,,0,,0,
2021,Garnish,2021A00051002021,Employed,20 to 24 years,115.3.4,15,,0,,10,
2021,Garnish,2021A00051002021,Employed,25 to 64 years,115.3.5,185,,90,,90,
2021,Garnish,2021A00051002021,Employed,25 to 54 years,115.3.6,135,,75,,65,
2021,Garnish,2021A00051002021,Employed,25 to 34 years,115.3.7,10,,0,,0,
2021,Garnish,2021A00051002021,Employed,25 to 29 years,115.3.8,0,,0,,0,
2021,Garnish,2021A00051002021,Employed,30 to 34 years,115.3.9,0,,0,,0,
2021,Garnish,2021A00051002021,Employed,35 to 44 years,115.3.10,60,,25,,35,
2021,Garnish,2021A00051002021,Employed,45 to 54 years,115.3.11,70,,45,,30,
2021,Garnish,2021A00051002021,Employed,55 to 64 years,115.3.12,45,,20,,25,
2021,Garnish,2021A00051002021,Employed,65 years and over,115.3.13,20,,10,,10,
2021,Garnish,2021A00051002021,Employed,65 to 74 years,115.3.14,20,,10,,10,
2021,Garnish,2021A00051002021,Employed,75 years and over,115.3.15,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,Total - Age,115.4.1,25,,15,,0,
2021,Garnish,2021A00051002021,Unemployed,15 to 24 years,115.4.2,10,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,15 to 19 years,115.4.3,10,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,20 to 24 years,115.4.4,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,25 to 64 years,115.4.5,20,,10,,0,
2021,Garnish,2021A00051002021,Unemployed,25 to 54 years,115.4.6,15,,10,,0,
2021,Garnish,2021A00051002021,Unemployed,25 to 34 years,115.4.7,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,25 to 29 years,115.4.8,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,30 to 34 years,115.4.9,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,35 to 44 years,115.4.10,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,45 to 54 years,115.4.11,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,55 to 64 years,115.4.12,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,65 years and over,115.4.13,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,65 to 74 years,115.4.14,0,,0,,0,
2021,Garnish,2021A00051002021,Unemployed,75 years and over,115.4.15,0,,0,,0,
2021,Garnish,2021A00051002021,Not in the labour force,Total - Age,115.5.1,265,,135,,135,
2021,Garnish,2021A00051002021,Not in the labour force,15 to 24 years,115.5.2,30,,15,,20,
2021,Garnish,2021A00051002021,Not in the labour force,15 to 19 years,115.5.3,25,,15,,10,
2021,Garnish,2021A00051002021,Not in the labour force,20 to 24 years,115.5.4,0,,0,,0,
2021,Garnish,2021A00051002021,Not in the labour force,25 to 64 years,115.5.5,90,,40,,50,
2021,Garnish,2021A00051002021,Not in the labour force,25 to 54 years,115.5.6,30,,15,,15,
2021,Garnish,2021A00051002021,Not in the labour force,25 to 34 years,115.5.7,0,,0,,0,
2021,Garnish,2021A00051002021,Not in the labour force,25 to 29 years,115.5.8,0,,0,,0,
2021,Garnish,2021A00051002021,Not in the labour force,30 to 34 years,115.5.9,0,,0,,0,
2021,Garnish,2021A00051002021,Not in the labour force,35 to 44 years,115.5.10,10,,10,,0,
2021,Garnish,2021A00051002021,Not in the labour force,45 to 54 years,115.5.11,15,,0,,15,
2021,Garnish,2021A00051002021,Not in the labour force,55 to 64 years,115.5.12,60,,25,,35,
2021,Garnish,2021A00051002021,Not in the labour force,65 years and over,115.5.13,145,,80,,65,
2021,Garnish,2021A00051002021,Not in the labour force,65 to 74 years,115.5.14,90,,65,,30,
2021,Garnish,2021A00051002021,Not in the labour force,75 years and over,115.5.15,60,,20,,40,
2021,Garnish,2021A00051002021,Participation rate,Total - Age,115.6.1,48.0,,49.0,,46.9,
2021,Garnish,2021A00051002021,Participation rate,15 to 24 years,115.6.2,36.4,,0.0,,50.0,
2021,Garnish,2021A00051002021,Participation rate,15 to 19 years,115.6.3,33.3,,0.0,,0.0,
2021,Garnish,2021A00051002021,Participation rate,20 to 24 years,115.6.4,60.0,,0.0,,50.0,
2021,Garnish,2021A00051002021,Participation rate,25 to 64 years,115.6.5,70.2,,71.4,,65.5,
2021,Garnish,2021A00051002021,Participation rate,25 to 54 years,115.6.6,85.7,,84.2,,82.4,
2021,Garnish,2021A00051002021,Participation rate,25 to 34 years,115.6.7,66.7,,100.0,,0.0,
2021,Garnish,2021A00051002021,Participation rate,25 to 29 years,115.6.8,100.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Participation rate,30 to 34 years,115.6.9,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Participation rate,35 to 44 years,115.6.10,92.3,,71.4,,100.0,
2021,Garnish,2021A00051002021,Participation rate,45 to 54 years,115.6.11,83.3,,100.0,,77.8,
2021,Garnish,2021A00051002021,Participation rate,55 to 64 years,115.6.12,45.5,,50.0,,41.7,
2021,Garnish,2021A00051002021,Participation rate,65 years and over,115.6.13,12.5,,10.5,,14.3,
2021,Garnish,2021A00051002021,Participation rate,65 to 74 years,115.6.14,19.0,,14.3,,33.3,
2021,Garnish,2021A00051002021,Participation rate,75 years and over,115.6.15,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Employment rate,Total - Age,115.7.1,43.0,,41.2,,42.9,
2021,Garnish,2021A00051002021,Employment rate,15 to 24 years,115.7.2,27.3,,0.0,,33.3,
2021,Garnish,2021A00051002021,Employment rate,15 to 19 years,115.7.3,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Employment rate,20 to 24 years,115.7.4,60.0,,0.0,,50.0,
2021,Garnish,2021A00051002021,Employment rate,25 to 64 years,115.7.5,64.9,,64.3,,62.1,
2021,Garnish,2021A00051002021,Employment rate,25 to 54 years,115.7.6,77.1,,78.9,,76.5,
2021,Garnish,2021A00051002021,Employment rate,25 to 34 years,115.7.7,66.7,,0.0,,0.0,
2021,Garnish,2021A00051002021,Employment rate,25 to 29 years,115.7.8,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Employment rate,30 to 34 years,115.7.9,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Employment rate,35 to 44 years,115.7.10,92.3,,71.4,,100.0,
2021,Garnish,2021A00051002021,Employment rate,45 to 54 years,115.7.11,77.8,,100.0,,66.7,
2021,Garnish,2021A00051002021,Employment rate,55 to 64 years,115.7.12,40.9,,40.0,,41.7,
2021,Garnish,2021A00051002021,Employment rate,65 years and over,115.7.13,12.5,,10.5,,14.3,
2021,Garnish,2021A00051002021,Employment rate,65 to 74 years,115.7.14,19.0,,14.3,,33.3,
2021,Garnish,2021A00051002021,Employment rate,75 years and over,115.7.15,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,Total - Age,115.8.1,10.4,,12.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,15 to 24 years,115.8.2,50.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,15 to 19 years,115.8.3,100.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,20 to 24 years,115.8.4,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,25 to 64 years,115.8.5,10.0,,10.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,25 to 54 years,115.8.6,10.0,,12.5,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,25 to 34 years,115.8.7,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,25 to 29 years,115.8.8,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,30 to 34 years,115.8.9,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,35 to 44 years,115.8.10,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,45 to 54 years,115.8.11,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,55 to 64 years,115.8.12,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,65 years and over,115.8.13,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,65 to 74 years,115.8.14,0.0,,0.0,,0.0,
2021,Garnish,2021A00051002021,Unemployment rate,75 years and over,115.8.15,0.0,,0.0,,0.0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,Total - Age,116.1.1,190,,115,,75,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,15 to 24 years,116.1.2,30,,25,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,15 to 19 years,116.1.3,10,,0,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,20 to 24 years,116.1.4,25,,25,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,25 to 64 years,116.1.5,110,,55,,50,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,25 to 54 years,116.1.6,75,,45,,30,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,25 to 34 years,116.1.7,20,,20,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,25 to 29 years,116.1.8,0,,0,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,30 to 34 years,116.1.9,10,,10,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,35 to 44 years,116.1.10,15,,0,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,45 to 54 years,116.1.11,45,,20,,20,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,55 to 64 years,116.1.12,40,,15,,25,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,65 years and over,116.1.13,45,,25,,20,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,65 to 74 years,116.1.14,30,,20,,15,
2021,"Division No.  2, Subd. D",2021A00051002022,Total - Labour force status,75 years and over,116.1.15,15,,10,,0,
2021,"Division No.  2, Subd. D",2021A00051002022,In the labour force,Total - Age,116.2.1,105,,65,,35,
