CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
Beaverlodge,4819009,54.0773,53.3333
Wembley,4819011,53.6145,53.7415
Grande Prairie,4819012,53.6436,53.5913
Sexsmith,4819014,55.9524,53.3019
Peace River,4819038,53.252,52.9412
Smoky River No. 130,4819041,57.5269,58.3815
McLennan,4819042,56.4516,52.7273
Donnelly,4819044,56.8627,57.4468
Falher,4819046,51.0638,51.1905
Girouxville,4819048,61.9048,60
Birch Hills County,4819049,60.5505,59.2593
Spirit River No. 133,4819054,53.4247,55.8824
Rycroft,4819056,46,52.381
Spirit River,4819058,50,45.4545
Saddle Hills County,4819059,56.3218,56.1753
Fairview No. 136,4819066,58.6207,56.1728
Fairview,4819068,46.4029,44.7471
Peace No. 135,4819071,56.875,57.931
Berwyn,4819072,55.9322,54
Grimshaw,4819074,50.7407,49.1597
Horse Lakes 152B,4819815,50,50
Duncan's 151A,4819826,44.4444,50
Elkford,5901003,56.0403,56.0284
Sparwood,5901006,56.4655,56.25
Fernie,5901012,52.5956,53.092
East Kootenay A,5901017,56.0538,56.1905
East Kootenay B,5901019,59.5506,59.5092
Cranbrook,5901022,51.2981,51.5309
Kimberley,5901028,52.1739,52.4259
East Kootenay C,5901035,53.8813,53.7459
East Kootenay E,5901037,57.3248,57.1429
Invermere,5901039,51.6049,52.4934
Radium Hot Springs,5901040,48.2517,46.9231
Canal Flats,5901043,62.963,64.4737
East Kootenay F,5901046,52.3392,52.7331
East Kootenay G,5901048,53.8462,54.9383
Tobacco Plains 2,5901801,62.5,50
Kootenay 1,5901803,57.1429,58.3333
Columbia Lake 3,5901804,54.5455,55.5556
Shuswap,5901806,40.4762,41.6667
Creston,5903004,52.9148,54.0741
Central Kootenay A,5903010,52.7174,52.6946
Salmo,5903011,50,48.8095
Central Kootenay B,5903013,51.3514,52.1277
Nelson,5903015,50,49.6454
Central Kootenay C,5903017,52.7559,52.1008
Slocan,5903019,47.619,44.4444
Kaslo,5903023,50.5376,51.7647
Silverton,5903027,66.6667,72.7273
New Denver,5903032,54.5455,48.2759
Central Kootenay D,5903039,53.9568,55.0847
Central Kootenay E,5903041,53.9604,52.8302
Central Kootenay F,5903043,52.8846,52.6178
Castlegar,5903045,52.25,52.2409
Central Kootenay G,5903047,57.9618,57.4468
Nakusp,5903050,53.7975,52.2388
Central Kootenay H,5903052,51.7308,51.3274
Central Kootenay I,5903056,53.7906,54.8638
Central Kootenay J,5903058,53.1073,51.5528
Central Kootenay K,5903060,52.3179,51.2
Creston 1,5903807,44.4444,42.8571
Fruitvale,5905005,54.8387,53.1792
Montrose,5905009,55.0562,54.6512
Trail,5905014,52.1429,51.6279
Warfield,5905018,49.4048,48.7179
Rossland,5905023,52.5641,51.7986
Kootenay Boundary A,5905026,52.1472,50.6494
Kootenay Boundary B / Lower Columbia-Old-Glory,5905030,55.6452,59.292
Grand Forks,5905032,52.4496,52.322
Midway,5905037,55.1724,53.7037
Greenwood,5905042,57.8947,61.2903
Kootenay Boundary C / Christina Lake,5905050,59.542,57.5
Kootenay Boundary D / Rural Grand Forks,5905052,53.9249,53.8745
Kootenay Boundary E / West Boundary,5905054,51.1785,49.8039
Osoyoos,5907005,49.8829,48.9418
Keremeos,5907009,50,48.9583
Oliver,5907014,51.8182,50.7426
Okanagan-Similkameen A,5907022,51.9608,53.2258
Princeton,5907024,51.3208,50.8475
Okanagan-Similkameen B,5907026,55.5556,56.4103
Okanagan-Similkameen C,5907028,53.0726,51.6616
Summerland,5907035,51.2374,50.8982
Penticton,5907041,49.957,49.6398
Okanagan-Similkameen D,5907047,51.706,51.7045
Okanagan-Similkameen I,5907048,50.6726,51.4706
Okanagan-Similkameen E,5907049,48.4211,48.8506
Okanagan-Similkameen F,5907051,52.3148,52.2167
Okanagan-Similkameen G,5907053,56.8047,56.9444
Okanagan-Similkameen H,5907055,60.7527,61.1111
Lower Similkameen 2,5907801,25,28.5714
Osoyoos 1,5907802,50.6667,50.7463
Penticton 1,5907803,48.5915,49.2308
Chopaka 7 & 8,5907805,44.4444,42.8571
Chuchuwayha 2,5907807,57.1429,42.8571
Ashnola 10,5907809,50,50
Hope,5909009,51.4337,51.5213
Fraser Valley A,5909014,58.0645,61.5385
Fraser Valley B,5909016,54.9296,56.9231
Chilliwack,5909020,52.752,53.1121
Harrison Hot Springs,5909027,53.2051,53.8462
Kent,5909032,51.306,52.3046
Fraser Valley D,5909034,54.6798,55.4974
Fraser Valley H,5909035,53.0864,55.2995
Fraser Valley E,5909036,58.042,58.6466
Fraser Valley C,5909048,54.8387,54.023
Abbotsford,5909052,52.7504,53.2767
Mission,5909056,53.9578,54.1165
Fraser Valley F,5909060,53.2051,53.5714
Fraser Valley G,5909062,60.9467,63.1579
Chawathil 4,5909804,55.5556,55.5556
Kopchitchin 2,5909806,0,66.6667
Ohamil 1,5909807,62.5,66.6667
Lukseetsissum 9,5909810,75,66.6667
Schkam 2,5909812,60,60
Spuzzum 1,5909816,66.6667,66.6667
Kwawkwawapilt 6,5909821,50,44.4444
Skwah 4,5909824,57.6923,52.6316
Skway 5,5909826,66.6667,40
Soowahlie 14,5909827,53.3333,50
Tzeachten 13,5909830,49.7041,50.3185
Yakweakwioose 12,5909831,66.6667,66.6667
Seabird Island,5909832,56.8627,56.5217
Aitchelitch 9,5909835,66.6667,66.6667
Cheam 1,5909837,52.9412,50
Chehalis 5,5909839,50,46.3415
Stullawheets 8,5909841,60,60
Langley 2,5909856,55.1724,55.5556
Albert Flat 5,5909876,50,50
Upper Sumas 6,5909877,47.3684,46.6667
Matsqui Main 2,5909878,63.6364,72.7273
Holachten 8,5909879,53.8462,54.5455
Lakahahmen 11,5909880,50,46.1538
Skweahm 10,5909881,61.1111,58.8235
Squawkum Creek 3,5909882,58.3333,63.6364
Skowkale,5909884,48.5714,47.6923
Squiaala,5909885,54.5455,55.5556
Langley,5915001,52.0157,52.4002
Langley,5915002,52.1191,52.659
Surrey,5915004,52.9089,53.3633
White Rock,5915007,50.1248,50.2714
Delta,5915011,52.3744,52.7158
Richmond,5915015,50.7698,51.2114
Metro Vancouver A,5915020,48.8166,49.4595
Vancouver,5915022,50.9413,51.0521
Burnaby,5915025,52.3468,52.6903
New Westminster,5915029,51.4613,51.6858
Coquitlam,5915034,52.4026,52.7733
Belcarra,5915036,55.2239,54.6875
Anmore,5915038,50.5747,51.8367
Port Coquitlam,5915039,51.8027,51.7966
Port Moody,5915043,50.9829,51.0727
North Vancouver,5915046,51.3072,51.4835
North Vancouver,5915051,49.4876,49.6614
West Vancouver,5915055,53.0151,53.373
Bowen Island,5915062,50.5241,51.1161
Lions Bay,5915065,47.8788,47.7419
Pitt Meadows,5915070,51.7128,51.6792
Maple Ridge,5915075,52.7719,53.0196
Semiahmoo,5915801,57.1429,57.1429
Tsawwassen,5915802,51.6807,51.3636
Musqueam 2,5915803,52.7027,52.2059
Coquitlam 1,5915805,60,60
Burrard Inlet 3,5915806,47.9592,47.5836
Mission 1,5915807,55.102,53.4884
Capilano 5,5915808,52.3973,53.1496
Seymour Creek 2,5915811,45.4545,60
McMillan Island 6,5915816,54.5455,54.5455
Matsqui 4,5915825,60.8696,59.0909
Katzie 1,5915830,47.3684,52.9412
North Saanich,5917005,50.755,51.0695
Sidney,5917010,49.3532,49.4781
Central Saanich,5917015,50.2463,50.4318
Saanich,5917021,50.6796,50.5233
Saltspring Island,5917027,51.2129,51.4259
Southern Gulf Islands,5917029,50.4587,51.0848
Oak Bay,5917030,50.4896,50.4279
Victoria,5917034,49.6629,49.4854
Esquimalt,5917040,52.8793,53.0179
Colwood,5917041,52.2059,52.4793
Metchosin,5917042,53.8776,54.3103
Langford,5917044,50.814,51.0125
View Royal,5917047,50.04,49.788
Highlands,5917049,54.1667,54.3796
Sooke,5917052,52.7062,52.5552
Juan de Fuca (Part 1),5917054,52.2222,51.7857
Juan de Fuca (Part 2),5917056,44.4444,38.4615
Cole Bay 3,5917801,52.6316,50
Union Bay 4,5917802,37.5,42.8571
East Saanich 2,5917803,50.7692,49.5652
South Saanich 1,5917804,47.9167,47.8261
Becher Bay 1,5917809,50,44.4444
Esquimalt,5917811,37.5,37.5
New Songhees 1A,5917812,51.3966,52.3179
Gordon River 2,5917815,55.5556,50
T'Sou-ke,5917819,50,45
North Cowichan,5919008,51.2761,51.3012
Duncan,5919012,47.75,46.6851
Cowichan Valley D,5919013,51.1236,50.2994
Cowichan Valley G,5919015,54.902,53.2258
Lake Cowichan,5919016,52.4138,51.711
Cowichan Valley H,5919017,54.2969,53.252
Ladysmith,5919021,50.6112,50.3329
Cowichan Valley F,5919033,59.0361,58.9404
Cowichan Valley I,5919035,53.0303,52.8926
Cowichan Valley A,5919043,53.7155,53.653
Cowichan Valley B,5919046,52.6639,51.8559
Cowichan Valley C,5919049,49.7738,50.2404
Cowichan Valley E,5919051,50,50
Halalt 2,5919801,66.6667,70
Tsussie 6,5919803,50,50
Chemainus 13,5919804,46.3415,44.4444
Penelakut Island 7,5919809,51.7241,50
Malachan 11,5919814,60,60
Malahat 11,5919815,50,55.5556
Oyster Bay 12,5919816,60,40
Theik 2,5919818,50,0
Cowichan,5919822,51.8293,49.6454
Nanaimo,5921007,50.5453,50.4916
Lantzville,5921008,52.5606,52.3121
Nanaimo A,5921010,52.1682,52.4355
Nanaimo B,5921014,49.435,48.9231
Nanaimo C,5921016,55.0898,55.0489
Parksville,5921018,47.7362,47.2574
Qualicum Beach,5921023,50.6217,50.6744
Nanaimo E,5921030,52,50.74
Nanaimo F,5921032,52.2059,51.6824
Nanaimo G,5921034,52.8682,52.4871
Nanaimo H,5921036,54.9708,54.8495
Nanaimo Town 1,5921804,52,47.8261
Nanoose,5921805,54.5455,52.381
Qualicum,5921806,37.5,42.8571
Nanaimo River,5921807,56.5217,57.1429
Port Alberni,5923008,49.6867,48.6787
Ucluelet,5923019,51.626,50.885
Tofino,5923025,51.682,50.1742
Alberni-Clayoquot B,5923033,60.7843,52.1739
Alberni-Clayoquot D,5923035,53.8012,54.1401
Alberni-Clayoquot E,5923037,52.7027,53.5714
Alberni-Clayoquot F,5923039,50.5814,51.6129
Alberni-Clayoquot A,5923047,52.6316,55.5556
Alberni-Clayoquot C,5923049,57.8947,59.375
Ahahswinis 1,5923801,46.1538,40
Anacla 12,5923803,55.5556,50
Ittatsoo 1,5923807,42.3077,40.9091
Marktosis 15,5923808,50.7937,51.6667
Opitsat 1,5923813,54.5455,50
Tsahaheh 1,5923816,53.3333,51.2195
Esowista 3,5923823,60,55.5556
Gold River,5924025,48.1481,47.5248
Zeballos,5924029,50,50
Tahsis,5924030,62.963,58.8235
Campbell River,5924034,50.8495,50.3266
Sayward,5924039,56.5217,57.8947
Strathcona D (Oyster Bay - Buttle Lake),5924042,53.3666,52.3546
Strathcona A,5924048,52.381,53.4247
Strathcona B,5924052,52.0408,53.9326
Strathcona C,5924054,53.6364,52.7363
Campbell River 11,5924804,48.8372,45
Houpsitas 6,5924806,55.5556,43.75
Quinsam 12,5924812,53.3333,57.6923
Cape Mudge 10,5924817,50,45.4545
Tork 7,5924820,0,0
Tsa Xana 18,5924835,54.5455,50
Ehatis 11,5924836,42.8571,60
Homalco 9,5924840,53.3333,53.8462
Comox,5926005,50.9302,50.8728
Courtenay,5926010,49.831,49.7743
Cumberland,5926014,49.3976,48.366
Comox Valley A,5926021,49.162,49.247
Comox Valley B (Lazo North),5926022,50.5634,49.4557
Comox Valley C (Puntledge - Black Creek),5926024,54.0717,53.6385
Comox 1,5926801,56,52.1739
Powell River,5927008,49.8765,49.9109
qathet A,5927010,46.9027,43.3333
qathet B,5927012,47.2603,46.3768
qathet C,5927016,50.2857,52.2876
qathet D,5927018,56.962,58.209
qathet E,5927020,55.9322,58.4906
Sliammon 1,5927802,53.7313,51.7241
Gibsons,5929005,45.354,45.0839
Sechelt,5929011,49.3827,48.6249
Sunshine Coast A,5929018,55.1331,56.087
Sunshine Coast B,5929022,52.7881,52.7778
Sunshine Coast D,5929024,48.8127,49.4286
Sunshine Coast E,5929026,50.6596,50.9859
Sunshine Coast F,5929028,54.0773,54.3779
Sechelt (Part),5929803,51.7857,52.9412
Squamish,5931006,52.7229,52.5201
Pemberton,5931012,52.5386,52.5943
Squamish-Lillooet C,5931017,52.9644,52.3605
Whistler,5931020,54.0021,53.7445
Squamish-Lillooet D,5931021,52.2523,51.4286
Lillooet,5931026,52.8634,51.4423
Squamish-Lillooet A,5931032,48.5714,46.4286
Squamish-Lillooet B,5931034,61.9048,66.6667
Cheakamus 11,5931801,50,28.5714
Kowtain 17,5931802,66.6667,66.6667
Stawamus 24,5931807,66.6667,66.6667
Waiwakum 14,5931808,62.5,57.1429
Nesuch 3,5931812,50,50
Bridge River 1,5931813,55.5556,50
Cayoosh Creek 1,5931814,57.1429,28.5714
Chilhil 6,5931815,66.6667,66.6667
Fountain 1,5931816,33.3333,33.3333
Lillooet 1,5931821,54.5455,47.0588
Pashilqua 2,5931828,50,40
Pavilion 1,5931829,60,50
Slosh 1,5931831,42.1053,44.4444
Fountain 1B,5931842,66.6667,66.6667
Mount Currie,5931843,52.9412,53.1646
Nequatque,5931844,50,50
Merritt,5933006,51.801,51.9849
Thompson-Nicola M (Beautiful Nicola Valley - North),5933008,55.4054,57.037
Thompson-Nicola N (Beautiful Nicola Valley - South),5933012,56.338,55.2239
Lytton,5933015,50,50
Ashcroft,5933019,49.1525,48.2456
Cache Creek,5933024,45.4545,45.5882
Clinton,5933028,55.3191,54.7619
Thompson-Nicola E (Bonaparte Plateau),5933032,53.6842,51.7241
Logan Lake,5933035,57.4713,55.3459
Thompson-Nicola I (Blue Sky Country),5933037,56.701,54.023
Thompson-Nicola J (Copper Desert Country),5933039,55.8511,55.1724
Kamloops,5933042,51.9106,51.8844
Thompson-Nicola P (Rivers and the Peaks),5933044,54.6988,55.2083
Sun Peaks Mountain,5933045,58.75,59.0278
Chase,5933054,50.5495,50.9091
Thompson-Nicola L (Grasslands),5933060,53.8028,53.9394
Clearwater,5933067,53.2663,51.7647
Thompson-Nicola A (Wells Gray Country),5933068,51.1628,49.0566
Thompson-Nicola B (Thompson Headwaters),5933070,62.8571,60
Thompson-Nicola O (Lower North Thompson),5933072,54.6099,53.3835
Barriere,5933074,55.7971,56.5217
Coldwater 1,5933801,60,58.3333
Douglas Lake 3,5933802,52.9412,50
Joeyaska 2,5933805,0,0
Nicola Lake 1,5933806,54.5455,55.5556
Nicola Mameet 1,5933807,52.1739,51.1628
Nooaitch 10,5933808,54.5455,37.5
Bonaparte 3,5933812,41.1765,40
Canoe Creek 1,5933814,60,66.6667
Skeetchestn,5933817,76.4706,71.4286
Canoe Creek 2,5933821,66.6667,50
Klickkumcheen 18,5933832,75,62.5
Inkluckcheen,5933833,56.25,42.8571
Lower Hat Creek 2,5933836,80,100
Ashcroft 4,5933844,66.6667,100
Siska Flat,5933849,50,50
Nuuautin 2,5933853,30,33.3333
Shackan 11,5933859,66.6667,0
Marble Canyon 3,5933872,33.3333,33.3333
Stryen 9,5933873,71.4286,57.1429
Whispering Pines 4,5933877,50,50
Kamloops 1,5933880,51.9231,51.6418
Sahhaltkum 4,5933884,54.5455,50
North Thompson 1,5933887,45,47.3684
Nekliptum 1,5933896,50,66.6667
Neskonlith,5933898,60,66.6667
Kelowna,5935010,51.3789,51.2772
Central Okanagan,5935012,53.5088,54.0476
Lake Country,5935016,51.4731,51.7177
Peachland,5935018,51.503,50.8969
Central Okanagan West,5935020,56.9288,56.7797
West Kelowna,5935029,52.2655,52.1095
Duck Lake 7,5935801,47.0238,46.6258
Tsinstikeptum 9,5935802,48.4887,47.017
Tsinstikeptum 10,5935803,50.5102,51.6854
Lumby,5937005,54.3956,54.2169
Coldstream,5937010,53.0541,52.5968
Vernon,5937014,51.6722,51.6003
North Okanagan B,5937017,55.2716,55.6314
North Okanagan C,5937021,52.3207,51.7241
North Okanagan D,5937022,55,53.9063
North Okanagan E,5937023,53.125,53.012
Spallumcheen,5937024,54.5624,54.4732
Armstrong,5937028,51.6,51.073
Enderby,5937033,51.8828,50.2262
North Okanagan F,5937041,54.0359,53.528
Okanagan (Part) 1,5937801,52.3148,52.381
Enderby 2,5937802,58.0645,58.6207
Priest's Valley 6,5937803,40.9091,38.8889
Golden,5939007,54.5055,55.3444
Columbia-Shuswap A,5939011,56.3636,56.8047
Revelstoke,5939019,52.6946,52.5499
Columbia-Shuswap B,5939023,58.1818,60
Salmon Arm,5939032,50.0833,50.0603
Columbia-Shuswap C,5939037,52.988,52.4854
Columbia-Shuswap D,5939039,56.9767,56.2814
Columbia-Shuswap E,5939043,55.6291,51.6129
Columbia-Shuswap F,5939044,52.1569,53.8462
Sicamous,5939045,52.3207,51.4286
Chum Creek 2,5939801,60,66.6667
Hustalen 1,5939802,66.6667,66.6667
North Bay 5,5939803,50,0
Okanagan (Part) 1,5939804,66.6667,66.6667
Quaaout 1,5939805,59.2593,60.8696
Switsemalph 3,5939808,40,40
Switsemalph,5939811,45.4545,44.4444
One Hundred Mile House,5941005,50.6667,49.2063
Williams Lake,5941009,51.7593,51.7588
Cariboo D,5941010,54.3408,54.1379
Cariboo E,5941012,56.1905,55.0129
Quesnel,5941013,52.2523,51.0692
Cariboo F,5941014,56.5217,56.057
Cariboo G,5941015,52.7027,52.4173
Cariboo H,5941016,46.5839,44.2857
Cariboo L,5941017,57.478,55.5184
Cariboo A,5941019,49.481,49.3177
Cariboo B,5941021,57.4344,57.8778
Wells,5941025,54.1667,64.2857
Cariboo C,5941026,57.7982,59.596
Cariboo I,5941027,57.971,53.2787
Cariboo J,5941039,59.6154,54.3478
Cariboo K,5941041,58.3333,54.7619
Alkali Lake 1,5941801,53.3333,58.3333
Deep Creek 2,5941805,44.4444,28.5714
Dog Creek 1,5941806,50,55.5556
Quesnel 1,5941809,57.1429,50
Williams Lake 1,5941812,47.619,41.1765
Anahim's Flat 1,5941821,53.125,46.1538
Redstone Flat 1,5941839,46.6667,50
Squinas 2,5941840,66.6667,50
Stone 1,5941841,57.1429,50
Toosey 1,5941850,57.1429,60
Ulkatcho 14A,5941880,71.4286,60
Alert Bay,5943008,37.931,44
Port McNeill,5943012,50,48.9362
Port Alice,5943017,56.4516,52.8302
Port Hardy,5943023,50.9756,51.087
Mount Waddington C,5943031,48.1928,48.75
Mount Waddington D,5943033,57.6923,65.2174
Mount Waddington A,5943037,55.7143,53.9683
Fort Rupert 1,5943804,50,50
Tsulquate 4,5943806,60,60.8696
Quaee 7,5943813,50,44.4444
Kippase 2,5943815,50,55.5556
Quatsino Subdivision 18,5943816,43.75,40
Alert Bay,5943837,48.1481,42.3077
Central Coast A,5945006,64.7059,62.5
Central Coast C,5945010,40.2985,37.8788
Central Coast D,5945012,52.8302,50
Central Coast E,5945014,37.5,42.8571
Bella Bella 1,5945801,50,49.4737
Bella Coola 1,5945802,50.8197,45.283
Katit 1,5945803,62.5,71.4286
Port Edward,5947007,56,57.4468
Prince Rupert,5947012,54.1636,54.2345
North Coast A,5947016,75,50
Masset,5947023,45.8824,41.3333
Queen Charlotte,5947026,55.1402,54.902
North Coast D,5947027,49.1525,50
Port Clements,5947030,75.8621,74.0741
North Coast E,5947032,56.25,54.3478
Kulkayu (Hartley Bay) 4A,5947802,50,50
Masset 1,5947803,55,48.4848
Skidegate 1,5947804,47.1429,46.0317
Kulkayu (Hartley Bay) 4,5947806,57.1429,57.1429
Dolphin Island 1,5947807,55,46.6667
Lax Kw'alaams 1,5947809,56.0976,54.8387
Tlaa Gaa Aawtlaas 28,5947823,50,50
Kitimat,5949005,54.8652,54.4631
Terrace,5949011,52.5097,52.5186
Kitimat-Stikine C (Part 1),5949013,54.1311,53.7037
Kitimat-Stikine E,5949018,53.9863,53.8462
Hazelton,5949022,54.1667,55
New Hazelton,5949024,54.2373,48.9796
Kitimat-Stikine B,5949028,52.9412,52.2523
Stewart,5949032,61.4035,65.3061
Nisga'a,5949035,54.3046,51.6393
Kitimat-Stikine F,5949038,50,50
Kitimat-Stikine D,5949041,66.6667,66.6667
Kitasoo 1,5949802,58.3333,55.5556
Kitamaat 2,5949803,51.2821,48.3871
Kitsumkaylum 1,5949804,53.125,53.8462
Kulspai 6,5949807,75,57.1429
Coryatsaqua (Moricetown) 2,5949810,50,57.1429
Hagwilget 1,5949811,55.5556,62.5
Gitanmaax 1,5949812,52.381,51.4286
Kispiox 1,5949813,55.814,50
Gitsegukla 1,5949814,47.8261,42.1053
Gitanyow 1,5949815,56.5217,52.6316
Gitwangak 1,5949816,54.5455,42.8571
Moricetown 1,5949817,55.5556,56.25
Sik-e-dakh 2,5949818,57.1429,54.5455
Babine 17,5949819,71.4286,50
Bulkley River 19,5949820,50,45.4545
Iskut 6,5949832,64.7059,68.75
Guhthe Tah 12,5949843,57.1429,58.3333
Kitselas 1,5949844,56.5217,50
Dease Lake 9,5949845,75,50
Telegraph Creek,5949847,50,60
Vanderhoof,5951007,53.4521,51.9417
Fraser Lake,5951009,61.7978,57.6923
Fort St. James,5951013,52.2059,49.1935
Bulkley-Nechako C,5951015,52.2388,50.8333
Bulkley-Nechako D,5951017,57.377,56.1905
Bulkley-Nechako F,5951019,56.447,55.0336
Burns Lake,5951022,55.9322,53.9877
Bulkley-Nechako B,5951028,54.386,51.3514
Bulkley-Nechako E,5951031,56.5789,55.8824
Granisle,5951032,50,45.4545
Houston,5951034,54.6828,52.4138
Telkwa,5951038,56.0811,56.0284
Smithers,5951043,52.649,52.8169
Bulkley-Nechako A,5951051,54.6624,54.3403
Bulkley-Nechako G,5951053,52.2727,47.8873
Ye Koo Che 3,5951801,60,40
Nautley (Fort Fraser) 1,5951802,50,55.5556
Nak'azdli,5951803,50,48.4848
Binche 2,5951805,66.6667,75
Stellaquo (Stella) 1,5951807,60,54.5455
Stony Creek 1,5951809,54.5455,55.5556
Tache 1,5951810,60,61.9048
Cheslatta 1,5951818,0,100
Palling 1,5951820,66.6667,60
Woyenne 27,5951827,51.5152,53.3333
Babine 6,5951828,75,66.6667
Babine 25,5951829,75,66.6667
North Tacla Lake,5951848,47.8261,56.25
Valemount,5953007,52.3364,51.9608
McBride,5953012,46.1538,50
Fraser-Fort George H,5953019,56.25,55.9211
Prince George,5953023,52.4709,52.2396
Mackenzie,5953033,56.4304,55.0898
Fraser-Fort George A,5953038,54.0323,54.2029
Fraser-Fort George C,5953042,54.359,54.2005
Fraser-Fort George D,5953044,54.8523,53.6199
Fraser-Fort George E,5953046,54.1667,53.6585
Fraser-Fort George F,5953048,54.2636,53.7815
Fraser-Fort George G,5953050,58.8235,50
Fort George 2,5953801,60,62.5
McLeod Lake 1,5953802,37.5,0
Tumbler Ridge,5955003,55.0607,56.3877
Pouce Coupe,5955005,54.5455,53.125
Chetwynd,5955010,57.874,57.2034
Dawson Creek,5955014,52.5037,51.7551
Peace River D,5955021,56.6337,55.7203
Peace River E,5955023,57.0423,58.0769
Hudson's Hope,5955025,54.6667,52.1127
Taylor,5955030,59.2857,58.5366
Fort St. John,5955034,55.0397,55.0958
Peace River B,5955040,58.2822,57.7434
Peace River C,5955042,57.4303,56.3545
East Moberly Lake 169,5955801,47.619,50
West Moberly Lake 168A,5955802,57.1429,66.6667
Blueberry River 205,5955803,62.5,83.3333
Doig River 206,5955804,50,66.6667
Fort Ware 1,5955807,33.3333,34.6154
Halfway River 168,5955808,55.5556,50
Finlay River 6,5955840,41.3793,50
Stikine Region,5957022,55,52.9412
Five Mile Point 3,5957803,75,57.1429
Liard River 3,5957814,53.8462,58.3333
Northern Rockies,5959007,53.4091,51.6291
Fort Nelson 2,5959806,47.3684,50
Prophet River 4,5959810,45.4545,55.5556
Watson Lake,6001003,48.2143,46.9388
Faro,6001004,51.2195,50
Teslin,6001006,44,45.4545
Whitehorse,6001009,48.7726,48.5902
Carmacks,6001012,45.7627,44.898
Haines Junction,6001018,48.6486,47.619
Mayo,6001022,50,52.6316
Dawson,6001029,53,53.8462
Upper Liard,6001032,54.5455,57.1429
Tagish,6001036,48,52.6316
Ross River,6001037,53.125,55.5556
Burwash Landing,6001039,44.4444,57.1429
Pelly Crossing,6001041,43.75,39.1304
Beaver Creek,6001042,70,55.5556
Old Crow,6001043,50,50
Mt. Lorne,6001044,41.5094,39.6226
"Yukon, Unorganized",6001045,48.3516,48.4076
Carcross,6001048,57.6923,54.5455
Ibex Valley,6001055,53.8462,55.5556
Marsh Lake,6001058,54.3478,53.9326
Macpherson-Grizzly Valley,6001059,48.3696,47.7273
"Whitehorse, Unorganized",6001060,59.375,56.25
Tsiigehtchic,6101010,83.3333,83.3333
Paulatuk,6101014,50,52.381
Fort McPherson,6101015,54.1667,48.7805
Inuvik,6101017,49.1329,48.7342
Aklavik,6101025,50,45.7143
Tuktoyaktuk,6101036,51.7857,51.0638
Sachs Harbour,6101041,58.3333,54.5455
Ulukhaktok,6101095,52.5,50
Déline,6102003,53.0612,48.6486
Tulita,6102005,57.5,54.8387
Norman Wells,6102007,54.878,54.4304
Fort Good Hope,6102009,55.102,53.6585
Colville Lake,6102012,57.1429,57.1429
Behchokò,6103031,51.938,49.505
Whatì,6103034,52.381,48.3871
Gamètì,6103049,47.8261,47.3684
Wekweètì,6103052,46.1538,33.3333
Sambaa K’e,6104006,57.1429,60
Fort Liard,6104009,54.5455,53.5714
Nahanni Butte,6104010,54.5455,71.4286
Jean Marie River,6104013,33.3333,60
Fort Providence,6104014,52.5424,54.1667
Hay River Dene 1,6104017,47.619,50
Fort Simpson,6104038,55.8333,55.1402
Wrigley,6104044,55.5556,50
Fort Smith,6105001,51.0288,50.8929
Enterprise,6105003,50,66.6667
Hay River,6105016,52.6912,52.4096
Fort Resolution,6105018,50,44.8276
Lutselk'e,6105020,55.2632,53.125
Dettah,6106021,47.0588,50
Yellowknife,6106023,51.3026,50.9779
"Region 6, Unorganized",6106097,53.3333,53.5714
Sanikiluaq,6204001,49.1525,45.6522
Iqaluit,6204003,49.763,49.4885
Kimmirut,6204005,53.3333,50
Cape Dorset,6204007,50.5618,47.8873
Pangnirtung,6204009,49.5146,46.988
Qikiqtarjuaq,6204010,48.5714,44.8276
Hall Beach,6204011,47.7273,47.2222
Igloolik,6204012,57.1429,55.7895
Clyde River,6204015,53.9474,52
Arctic Bay,6204018,60.6557,56.8182
Pond Inlet,6204020,55.102,52.5
Resolute,6204022,56.25,50
Grise Fiord,6204025,69.2308,63.6364
Coral Harbour,6205014,50,44.898
Arviat,6205015,49.7175,46.5753
Whale Cove,6205016,51.7241,48
Rankin Inlet,6205017,48.0702,46.6942
Chesterfield Inlet,6205019,51.4286,42.3077
Baker Lake,6205023,55.8442,53.9823
Naujaat,6205027,50.7042,44.898
Kugaaruk,6208047,55.3571,53.4884
Kugluktuk,6208059,50,48.6486
Cambridge Bay,6208073,50,47.651
Gjoa Haven,6208081,53.7634,52.7027
Taloyoak,6208087,50,45.9459
